Processes: 387 total, 3 running, 384 sleeping, 2586 threads 
2020/09/09 10:04:07
Load Avg: 2.41, 2.65, 2.77 
CPU usage: 6.84% user, 12.70% sys, 80.45% idle 
SharedLibs: 135M resident, 40M data, 16M linkedit.
MemRegions: 144043 total, 2227M resident, 53M private, 850M shared.
PhysMem: 8140M used (1677M wired), 50M unused.
VM: 1869G vsize, 1883M framework vsize, 29651980(0) swapins, 30319546(0) swapouts.
Networks: packets: 4338384/2599M in, 3143144/1589M out.
Disks: 6390050/212G read, 3316156/147G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
37310  top              0.0  00:00.38 1/1   0   14     2516K 0B    0B    37310 25194 running  *0[1]      0.00000 0.00000    0   1335      100    329022    164510    1715     168324    196       7       0       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
37296  mdworker_shared  0.0  00:00.06 3     1   48     3532K 0B    0B    37296 1     sleeping *0[1]      0.00000 0.00000    502 2187      193    653       289       769      616       379       10      1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37295  mdworker_shared  0.0  00:00.06 3     1   48     3476K 0B    0B    37295 1     sleeping *0[1]      0.00000 0.00000    502 2167      193    651       287       772      609       325       9       1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37294  java             0.0  00:09.00 31    1   325    172M  2432K 0B    23855 37291 sleeping *0[16]     0.00000 0.00000    502 100390    1612   31967     8392      50120    61238     31371     5421    875     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37291  java             0.0  00:15.86 28    1   118    191M  0B    14M   23855 23855 sleeping *0[1]      0.00000 0.00000    502 131212    413    10621     5290      187134   16396     35981     266     744     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37283  mdworker_shared  0.0  00:00.08 4     1   50     4588K 0B    2692K 37283 1     sleeping *0[1]      0.00000 0.00000    502 4400      195    662       291       868      726       192       42      0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37243  mdworker_shared  0.0  00:00.06 3     1   48     3528K 0B    2760K 37243 1     sleeping *0[1]      0.00000 0.00000    502 2250      193    698       304       910      689       201       19      1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37231  mdworker_shared  0.0  00:00.06 3     1   48     3412K 0B    2036K 37231 1     sleeping *0[1]      0.00000 0.00000    502 2160      193    643       285       742      600       382       24      0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37212  Backup and Sync  0.0  00:02.04 3     1   138    127M  0B    126M  1109  1354  sleeping *0[9]      0.00000 0.00000    502 41134     1960   723       141       27039    1836      4479      1325    3       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37149  mdworker_shared  0.0  00:00.10 4     1   50     6404K 0B    5760K 37149 1     sleeping *0[1]      0.00000 0.00000    502 6788      195    730       313       1218     1022      521       0       0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37148  mdworker_shared  0.0  00:00.10 4     1   50     8156K 0B    7376K 37148 1     sleeping *0[1]      0.00000 0.00000    502 7407      195    735       320       1186     1023      458       0       0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37146  mdworker_shared  0.0  00:00.08 3     1   48     4608K 0B    4004K 37146 1     sleeping *0[1]      0.00000 0.00000    502 3604      193    709       308       940      698       449       0       0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37145  mdworker_shared  0.0  00:00.16 4     1   50     7528K 0B    6680K 37145 1     sleeping *0[1]      0.00000 0.00000    502 11651     195    913       376       1787     1436      1056      0       2       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37142  mdworker_shared  0.0  00:00.11 4     1   50     6816K 0B    5620K 37142 1     sleeping *0[1]      0.00000 0.00000    502 8558      195    739       318       1263     1142      561       0       0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
37138  Google Chrome He 0.0  00:36.75 21    1   306    295M  0B    90M   1094  1094  sleeping *0[6]      0.00000 0.00000    502 328561    4705   66624     37115     128067   242565    118799    42      6483    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
